box,day,phase,mouse,normDS,rank,time_point,exp,sex,age,mouse_ID,background,treatment,condition
7,2,active,yellow,1.3181818181818183,Gamma,baseline,male_P35,male,P35,1073118,CTRL,MDMA,CTRL_MDMA
7,2,active,green,0.0,Delta,baseline,male_P35,male,P35,1073093,ELA,MDMA,ELA_MDMA
7,2,inactive,red,3.0,Alpha,baseline,male_P35,male,P35,1073138,CTRL,MDMA,CTRL_MDMA
7,2,inactive,yellow,1.5,Beta,baseline,male_P35,male,P35,1073118,CTRL,MDMA,CTRL_MDMA
7,2,inactive,blue,0.75,Gamma,baseline,male_P35,male,P35,1073149,ELA,MDMA,ELA_MDMA
7,2,inactive,green,0.75,Delta,baseline,male_P35,male,P35,1073093,ELA,MDMA,ELA_MDMA
7,3,active,red,3.0,Alpha,baseline,male_P35,male,P35,1073138,CTRL,MDMA,CTRL_MDMA
7,3,active,blue,1.581983805668016,Beta,baseline,male_P35,male,P35,1073149,ELA,MDMA,ELA_MDMA
7,3,active,yellow,0.9807692307692306,Gamma,baseline,male_P35,male,P35,1073118,CTRL,MDMA,CTRL_MDMA
7,3,active,green,0.0,Delta,baseline,male_P35,male,P35,1073093,ELA,MDMA,ELA_MDMA
7,3,inactive,red,1.75,Alpha,baseline,male_P35,male,P35,1073138,CTRL,MDMA,CTRL_MDMA
7,3,inactive,blue,1.5,Beta,baseline,male_P35,male,P35,1073149,ELA,MDMA,ELA_MDMA
7,3,inactive,yellow,1.5,Gamma,baseline,male_P35,male,P35,1073118,CTRL,MDMA,CTRL_MDMA
7,3,inactive,green,1.5,Delta,baseline,male_P35,male,P35,1073093,ELA,MDMA,ELA_MDMA
8,1,active,red,3.0,Alpha,baseline,male_P35,male,P35,1073139,CTRL,MDMA,CTRL_MDMA
8,1,active,blue,1.886363636363637,Beta,baseline,male_P35,male,P35,1073150,ELA,MDMA,ELA_MDMA
8,1,active,green,0.5590909090909087,Gamma,baseline,male_P35,male,P35,1073129,CTRL,MDMA,CTRL_MDMA
8,1,active,yellow,0.0,Delta,baseline,male_P35,male,P35,1073094,ELA,MDMA,ELA_MDMA
8,1,inactive,red,3.0,Alpha,baseline,male_P35,male,P35,1073139,CTRL,MDMA,CTRL_MDMA
8,1,inactive,yellow,1.5,Beta,baseline,male_P35,male,P35,1073094,ELA,MDMA,ELA_MDMA
8,1,inactive,green,0.857142857142857,Gamma,baseline,male_P35,male,P35,1073129,CTRL,MDMA,CTRL_MDMA
8,1,inactive,blue,0.0,Delta,baseline,male_P35,male,P35,1073150,ELA,MDMA,ELA_MDMA
8,2,active,red,3.0,Alpha,baseline,male_P35,male,P35,1073139,CTRL,MDMA,CTRL_MDMA
8,2,active,green,1.4999999999999998,Beta,baseline,male_P35,male,P35,1073129,CTRL,MDMA,CTRL_MDMA
8,2,active,yellow,1.0,Gamma,baseline,male_P35,male,P35,1073094,ELA,MDMA,ELA_MDMA
8,2,active,blue,0.0,Delta,baseline,male_P35,male,P35,1073150,ELA,MDMA,ELA_MDMA
8,2,inactive,red,3.0,Alpha,baseline,male_P35,male,P35,1073139,CTRL,MDMA,CTRL_MDMA
8,2,inactive,yellow,1.5,Beta,baseline,male_P35,male,P35,1073094,ELA,MDMA,ELA_MDMA
8,2,inactive,green,1.5,Gamma,baseline,male_P35,male,P35,1073129,CTRL,MDMA,CTRL_MDMA
8,2,inactive,blue,0.0,Delta,baseline,male_P35,male,P35,1073150,ELA,MDMA,ELA_MDMA
8,3,active,red,3.0,Alpha,baseline,male_P35,male,P35,1073139,CTRL,MDMA,CTRL_MDMA
8,3,active,blue,2.25,Beta,baseline,male_P35,male,P35,1073150,ELA,MDMA,ELA_MDMA
8,3,active,yellow,0.75,Gamma,baseline,male_P35,male,P35,1073094,ELA,MDMA,ELA_MDMA
8,3,active,green,0.0,Delta,baseline,male_P35,male,P35,1073129,CTRL,MDMA,CTRL_MDMA
8,3,inactive,red,3.0,Alpha,baseline,male_P35,male,P35,1073139,CTRL,MDMA,CTRL_MDMA
8,3,inactive,yellow,1.5,Beta,baseline,male_P35,male,P35,1073094,ELA,MDMA,ELA_MDMA
8,3,inactive,green,0.75,Gamma,baseline,male_P35,male,P35,1073129,CTRL,MDMA,CTRL_MDMA
8,3,inactive,blue,0.0,Delta,baseline,male_P35,male,P35,1073150,ELA,MDMA,ELA_MDMA
1,1,active,blue,3.0,Alpha,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,1,active,red,1.5,Beta,MDMA,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,1,active,yellow,0.75,Gamma,MDMA,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,1,active,green,0.0,Delta,MDMA,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,1,inactive,blue,3.0,Alpha,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,1,inactive,red,1.5,Beta,MDMA,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,1,inactive,yellow,0.75,Gamma,MDMA,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,1,inactive,green,0.0,Delta,MDMA,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,2,active,blue,3.0,Alpha,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,2,active,red,0.75,Beta,MDMA,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,2,active,yellow,0.75,Gamma,MDMA,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,2,active,green,0.75,Delta,MDMA,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,2,inactive,blue,3.0,Alpha,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,2,inactive,red,0.75,Beta,MDMA,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,2,inactive,yellow,0.75,Gamma,MDMA,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,2,inactive,green,0.75,Delta,MDMA,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,3,active,blue,3.0,Alpha,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,3,active,yellow,2.25,Beta,MDMA,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,3,active,red,0.0,Gamma,MDMA,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,3,active,green,0.0,Delta,MDMA,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,3,inactive,blue,3.0,Alpha,MDMA,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,3,inactive,red,1.5,Beta,MDMA,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,3,inactive,yellow,0.75,Gamma,MDMA,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
1,3,inactive,green,0.75,Delta,MDMA,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
2,1,active,yellow,2.7523809523809524,Alpha,MDMA,male_P35,male,P35,1072468,CTRL,MDMA,CTRL_MDMA
2,1,active,red,2.5636363636363635,Beta,MDMA,male_P35,male,P35,1072440,CTRL,MDMA,CTRL_MDMA
2,1,active,green,0.5006493506493507,Gamma,MDMA,male_P35,male,P35,1072254,ELA,MDMA,ELA_MDMA
2,1,active,blue,0.1833333333333335,Delta,MDMA,male_P35,male,P35,1072265,ELA,MDMA,ELA_MDMA
2,1,inactive,red,2.7,Alpha,MDMA,male_P35,male,P35,1072440,CTRL,MDMA,CTRL_MDMA
2,1,inactive,green,1.8000000000000005,Beta,MDMA,male_P35,male,P35,1072254,ELA,MDMA,ELA_MDMA
2,1,inactive,yellow,1.5,Gamma,MDMA,male_P35,male,P35,1072468,CTRL,MDMA,CTRL_MDMA
2,1,inactive,blue,0.0,Delta,MDMA,male_P35,male,P35,1072265,ELA,MDMA,ELA_MDMA
2,2,active,red,2.765151515151515,Alpha,MDMA,male_P35,male,P35,1072440,CTRL,MDMA,CTRL_MDMA
2,2,active,yellow,2.318181818181818,Beta,MDMA,male_P35,male,P35,1072468,CTRL,MDMA,CTRL_MDMA
2,2,active,green,1.366666666666667,Gamma,MDMA,male_P35,male,P35,1072254,ELA,MDMA,ELA_MDMA
2,2,active,blue,0.0,Delta,MDMA,male_P35,male,P35,1072265,ELA,MDMA,ELA_MDMA
2,2,inactive,red,3.0,Alpha,MDMA,male_P35,male,P35,1072440,CTRL,MDMA,CTRL_MDMA
2,2,inactive,yellow,1.5,Beta,MDMA,male_P35,male,P35,1072468,CTRL,MDMA,CTRL_MDMA
2,2,inactive,green,1.375,Gamma,MDMA,male_P35,male,P35,1072254,ELA,MDMA,ELA_MDMA
2,2,inactive,blue,0.125,Delta,MDMA,male_P35,male,P35,1072265,ELA,MDMA,ELA_MDMA
2,3,active,red,3.0,Alpha,MDMA,male_P35,male,P35,1072440,CTRL,MDMA,CTRL_MDMA
2,3,active,yellow,2.0833333333333335,Beta,MDMA,male_P35,male,P35,1072468,CTRL,MDMA,CTRL_MDMA
2,3,active,green,0.6875000000000002,Gamma,MDMA,male_P35,male,P35,1072254,ELA,MDMA,ELA_MDMA
2,3,active,blue,0.0,Delta,MDMA,male_P35,male,P35,1072265,ELA,MDMA,ELA_MDMA
2,3,inactive,yellow,1.75,Alpha,MDMA,male_P35,male,P35,1072468,CTRL,MDMA,CTRL_MDMA
2,3,inactive,red,1.5,Beta,MDMA,male_P35,male,P35,1072440,CTRL,MDMA,CTRL_MDMA
2,3,inactive,blue,1.5,Gamma,MDMA,male_P35,male,P35,1072265,ELA,MDMA,ELA_MDMA
2,3,inactive,green,1.5,Delta,MDMA,male_P35,male,P35,1072254,ELA,MDMA,ELA_MDMA
3,1,active,blue,3.0,Alpha,MDMA,male_P35,male,P35,1072479,CTRL,saline,CTRL_saline
3,1,active,red,1.5,Beta,MDMA,male_P35,male,P35,1072441,CTRL,saline,CTRL_saline
3,1,active,green,0.75,Gamma,MDMA,male_P35,male,P35,1072415,ELA,saline,ELA_saline
3,1,active,yellow,0.0,Delta,MDMA,male_P35,male,P35,1072239,ELA,saline,ELA_saline
3,1,inactive,blue,3.0,Alpha,MDMA,male_P35,male,P35,1072479,CTRL,saline,CTRL_saline
3,1,inactive,red,0.75,Beta,MDMA,male_P35,male,P35,1072441,CTRL,saline,CTRL_saline
3,1,inactive,yellow,0.75,Gamma,MDMA,male_P35,male,P35,1072239,ELA,saline,ELA_saline
3,1,inactive,green,0.75,Delta,MDMA,male_P35,male,P35,1072415,ELA,saline,ELA_saline
3,2,active,blue,3.0,Alpha,MDMA,male_P35,male,P35,1072479,CTRL,saline,CTRL_saline
3,2,active,red,1.5,Beta,MDMA,male_P35,male,P35,1072441,CTRL,saline,CTRL_saline
3,2,active,green,1.5,Gamma,MDMA,male_P35,male,P35,1072415,ELA,saline,ELA_saline
3,2,active,yellow,0.0,Delta,MDMA,male_P35,male,P35,1072239,ELA,saline,ELA_saline
